experiment_id,layer_depth,head_idx,prop_mistralbase,prop_saulbase,prop_saulift,saulbase-mistral,saulift-mistral,saulift-saulbase
facet-2,0,0,0.039313392486530284,0.0370490170407427,0.03658221965806462,-0.0022643754457875864,-0.002731172828465661,-0.0004667973826780747
facet-2,0,1,0.07456778942632217,0.08909714204431853,0.10030066985664403,0.014529352617996358,0.02573288043032186,0.011203527812325503
facet-2,0,2,0.04279842149749716,0.043070806517097056,0.044502057851584585,0.0002723850195998981,0.0017036363540874275,0.0014312513344875294
facet-2,0,3,0.1564739444506007,0.14028569388972856,0.13380865768173383,-0.01618825056087214,-0.022665286768866866,-0.006477036207994724
facet-2,0,4,0.08899107459957763,0.08242625186603293,0.0828860739894014,-0.006564822733544695,-0.006105000610176228,0.00045982212336846684
facet-2,0,5,0.09028751735230388,0.08279595525459024,0.08471853311121041,-0.007491562097713636,-0.005568984241093464,0.0019225778566201723
facet-2,0,6,0.08611600412305219,0.07984669769253105,0.08123664924048747,-0.006269306430521135,-0.004879354882564718,0.0013899515479564167
facet-2,0,7,0.09685867425544269,0.08855863478519072,0.09041261834309967,-0.008300039470251971,-0.006446055912343013,0.0018539835579089586
facet-2,0,8,0.1410698652725607,0.13039957932396531,0.12967846585044587,-0.010670285948595398,-0.01139139942211484,-0.0007211134735194413
facet-2,0,9,0.12237347481189272,0.11224345964067113,0.11176978667197537,-0.010130015171221585,-0.010603688139917342,-0.0004736729686957569
facet-2,0,10,0.13992389467772245,0.1434667829051233,0.14731032709766773,0.003542888227400842,0.007386432419945271,0.003843544192544429
facet-2,0,11,0.1122113785664129,0.1052764777477861,0.10478712703573434,-0.006934900818626799,-0.007424251530678563,-0.0004893507120517643
facet-2,0,12,0.10084153162170309,0.0938203914717685,0.09379179245701473,-0.007021140149934588,-0.0070497391646883595,-2.85990147537718e-05
facet-2,0,13,0.09004085072141504,0.08427897547590182,0.08393938494111178,-0.0057618752455132205,-0.006101465780303267,-0.0003395905347900463
facet-2,0,14,0.043469713174303364,0.042583168690201095,0.045165402253300374,-0.0008865444841022682,0.0016956890789970105,0.0025822335630992788
facet-2,0,15,0.09004542010706774,0.08299031682196172,0.08475723343237472,-0.007055103285106029,-0.005288186674693024,0.0017669166104130052
facet-2,0,16,0.10354542660653304,0.1047322747254823,0.10212611478984004,0.0011868481189492575,-0.0014193118166929974,-0.002606159935642255
facet-2,0,17,0.0792477134588095,0.07623225412676683,0.07641200344570477,-0.0030154593320426692,-0.002835710013104731,0.00017974931893793844
facet-2,0,18,0.07357859761597296,0.07241842852394884,0.0722334286760004,-0.001160169092024127,-0.0013451689399725658,-0.00018499984794843882
facet-2,0,19,0.04908462045686704,0.04867323840738883,0.048913549836248627,-0.00041138204947820806,-0.00017107062061841316,0.0002403114288597949
facet-2,0,20,0.03891212389121038,0.03667690369538046,0.03733771177184205,-0.0022352201958299248,-0.001574412119368332,0.0006608080764615928
facet-2,0,21,0.004192384845433645,0.004413146583563658,0.0037265019463517623,0.00022076173813001271,-0.0004658828990818831,-0.0006866446372118958
facet-2,0,22,0.04218919836647953,0.040621551596938414,0.04125594850332626,-0.0015676467695411173,-0.0009332498631532682,0.0006343969063878491
facet-2,0,23,0.026014746660345728,0.023981875554484625,0.02334777874181499,-0.002032871105861103,-0.002666967918530737,-0.0006340968126696336
facet-2,0,24,0.0988299755447214,0.09726001077900802,0.09646274691313858,-0.0015699647657133747,-0.002367228631582813,-0.0007972638658694381
facet-2,0,25,0.037435605834281224,0.03755663115304676,0.03909192497010179,0.00012102531876553857,0.0016563191358205664,0.0015352938170550279
facet-2,0,26,0.16275660767125197,0.1685103383318579,0.16969440162465224,0.0057537306606059435,0.006937793953400273,0.0011840632927943295
facet-2,0,27,0.06614680536309955,0.06427651613755703,0.06312957552231176,-0.0018702892255425263,-0.0030172298407877968,-0.0011469406152452705
facet-2,0,28,0.07018795483745933,0.06626203648705586,0.06492452823751929,-0.003925918350403471,-0.005263426599940044,-0.001337508249536573
facet-2,0,29,0.16857757116597752,0.16120592841077308,0.15648609075013284,-0.007371642755204438,-0.01209148041584468,-0.0047198376606402415
facet-2,0,30,0.10245740750973314,0.09885734231000401,0.09695252703346707,-0.0036000651997291355,-0.005504880476266072,-0.0019048152765369364
facet-2,0,31,0.14817958182363736,0.14880403088986735,0.15495034874626343,0.0006244490662299929,0.00677076692262607,0.006146317856396077
facet-2,1,0,0.1858488427882844,0.18445379431636136,0.17884392938794544,-0.0013950484719230383,-0.007004913400338958,-0.00560986492841592
facet-2,1,1,0.10183026640196247,0.08959331706324661,0.09516834116923588,-0.012236949338715858,-0.006661925232726587,0.005575024105989271
facet-2,1,2,0.18960774002272335,0.19105951616875097,0.18948040511589812,0.0014517761460276224,-0.00012733490682523274,-0.0015791110528528551
facet-2,1,3,0.09917894406177263,0.08236130691027878,0.07138406909792533,-0.016817637151493856,-0.027794874963847305,-0.01097723781235345
facet-2,1,4,0.16780951237026304,0.14333369532109969,0.13866295236237322,-0.02447581704916335,-0.029146560007889816,-0.004670742958726465
facet-2,1,5,0.024708559016357188,0.026181896193639025,0.024895705014618956,0.0014733371772818367,0.00018714599826176806,-0.0012861911790200686
facet-2,1,6,0.10657679184644059,0.10126015834188058,0.11481159516036388,-0.005316633504560006,0.008234803313923289,0.013551436818483295
facet-2,1,7,0.1501931186824399,0.14428056542953843,0.14490160974351637,-0.005912553252901465,-0.005291508938923523,0.000621044313977942
facet-2,1,8,0.1193172565722292,0.13902421703488743,0.14491312001551715,0.019706960462658227,0.025595863443287944,0.005888902980629718
